Jun 03 15:02:14 ip-172-31-21-224 kubelet[4433]: I0603 15:02:14.933729    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-lssg4_default(1f5282e9-8108-4aca-8c74-b8bf674c821a)"
Jun 03 15:02:14 ip-172-31-21-224 kubelet[4433]: I0603 15:02:14.972668    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-d5brq_default(9786e213-958b-4820-80da-54c1017bb3ab)"
Jun 03 15:02:15 ip-172-31-21-224 kubelet[4433]: I0603 15:02:15.008049    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-5t8hb_default(28341b67-2f25-49cb-8de9-8997acdcb051)"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.162928    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-lssg4_default"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.178725    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-d5brq_default"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.221281    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-5t8hb_default"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.309777    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.11] for pod "acmeair-flightservice-76d48bfb54-d5brq_default(9786e213-958b-4820-80da-54c1017bb3ab)" after sandbox changed
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.310948    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.10] for pod "acmeair-flightservice-76d48bfb54-lssg4_default(1f5282e9-8108-4aca-8c74-b8bf674c821a)" after sandbox changed
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.339189    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.12] for pod "acmeair-flightservice-76d48bfb54-5t8hb_default(28341b67-2f25-49cb-8de9-8997acdcb051)" after sandbox changed
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.587803    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-lssg4" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.588085    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-d5brq" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:02:17 ip-172-31-21-224 kubelet[4433]: I0603 15:02:17.607255    4433 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-5t8hb" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:57 ip-172-31-17-97 kubelet[4436]: I0603 15:03:57.603608    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-925x7_default(19ff56e8-7b5d-45a8-b6d9-ce93c002de8f)"
Jun 03 15:03:57 ip-172-31-17-97 kubelet[4436]: I0603 15:03:57.642501    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-kk6l7_default(22d5e548-7075-4bd3-a583-94e07cdace46)"
Jun 03 15:03:57 ip-172-31-17-97 kubelet[4436]: I0603 15:03:57.679297    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-6wht9_default(e0b95708-60b4-44d3-9c32-37e6dea7391f)"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.460109    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-6wht9_default"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.465386    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-kk6l7_default"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.470346    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-925x7_default"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.575344    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.13] for pod "acmeair-flightservice-76d48bfb54-6wht9_default(e0b95708-60b4-44d3-9c32-37e6dea7391f)" after sandbox changed
