Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.596959    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.16] for pod "acmeair-flightservice-76d48bfb54-q9vrc_default(dcfd6216-113a-49d4-968e-ecfe46f861bf)" after sandbox changed
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.606859    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.17] for pod "acmeair-flightservice-76d48bfb54-tvss8_default(268baa83-ff1d-4996-9502-3cff244a5011)" after sandbox changed
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.693300    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-hfv97_default"
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.793417    4429 kuberuntime_manager.go:782] Determined the ip [100.96.3.18] for pod "acmeair-flightservice-76d48bfb54-hfv97_default(85e509ad-6b12-443b-a50f-21d4eb14a091)" after sandbox changed
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.837106    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-q9vrc" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:17 ip-172-31-26-125 kubelet[4429]: I0603 16:43:17.837419    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tvss8" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:43:18 ip-172-31-26-125 kubelet[4429]: I0603 16:43:18.057640    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-hfv97" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:47 ip-172-31-18-31 kubelet[4424]: I0603 16:44:47.655253    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-thghn_default(6fc2d178-15d7-4f21-8f65-4f9a924badee)"
Jun 03 16:44:47 ip-172-31-18-31 kubelet[4424]: I0603 16:44:47.746830    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-th8sr_default(62aed549-4f5d-414e-893d-7a86e64f4068)"
Jun 03 16:44:47 ip-172-31-18-31 kubelet[4424]: I0603 16:44:47.776621    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-5pn8v_default(2f39b8b5-b471-479b-94b9-28490f016b32)"
Jun 03 16:44:47 ip-172-31-18-31 kubelet[4424]: I0603 16:44:47.819385    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-d7sk5_default(d65b4f76-c57b-4eae-97f5-9dc72e9859b9)"
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.376803    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-thghn_default"
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.471956    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.20] for pod "acmeair-flightservice-76d48bfb54-thghn_default(6fc2d178-15d7-4f21-8f65-4f9a924badee)" after sandbox changed
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.538035    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-th8sr_default"
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.563792    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-5pn8v_default"
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.638674    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-d7sk5_default"
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.686958    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.21] for pod "acmeair-flightservice-76d48bfb54-th8sr_default(62aed549-4f5d-414e-893d-7a86e64f4068)" after sandbox changed
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.720716    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.22] for pod "acmeair-flightservice-76d48bfb54-5pn8v_default(2f39b8b5-b471-479b-94b9-28490f016b32)" after sandbox changed
Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.818893    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.23] for pod "acmeair-flightservice-76d48bfb54-d7sk5_default(d65b4f76-c57b-4eae-97f5-9dc72e9859b9)" after sandbox changed
