Jun 03 12:05:35 ip-172-31-26-112 kubelet[4426]: I0603 12:05:35.478271    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7md98_default"
Jun 03 12:05:35 ip-172-31-26-112 kubelet[4426]: I0603 12:05:35.506286    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-57zjt_default"
Jun 03 12:05:35 ip-172-31-26-112 kubelet[4426]: I0603 12:05:35.652808    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-ztw82_default"
Jun 03 12:05:35 ip-172-31-26-112 kubelet[4426]: I0603 12:05:35.940433    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.82] for pod "acmeair-flightservice-76d48bfb54-7md98_default(6ee6140a-58a7-495e-8dc4-14ced8d8c318)" after sandbox changed
Jun 03 12:05:35 ip-172-31-26-112 kubelet[4426]: I0603 12:05:35.944299    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.194] for pod "acmeair-flightservice-76d48bfb54-57zjt_default(d32beffa-f25b-420a-a44d-30dde505bc51)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-112 kubelet[4426]: I0603 12:05:36.141946    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.100] for pod "acmeair-flightservice-76d48bfb54-ztw82_default(c5c014d4-5343-43a7-9c05-1aecfcd905ae)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-112 kubelet[4426]: I0603 12:05:36.176324    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7md98" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:36 ip-172-31-26-112 kubelet[4426]: I0603 12:05:36.176935    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-57zjt" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:36 ip-172-31-26-112 kubelet[4426]: I0603 12:05:36.371904    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-ztw82" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:34 ip-172-31-26-136 kubelet[4410]: I0603 12:05:34.771025    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-dq6hc_default(783ccfaf-624e-4985-a445-0e1160a6fcd3)"
Jun 03 12:05:34 ip-172-31-26-136 kubelet[4410]: I0603 12:05:34.856745    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-ctxvm_default(076e7a9d-8305-4c02-b2ea-bffc67a4603c)"
Jun 03 12:05:34 ip-172-31-26-136 kubelet[4410]: I0603 12:05:34.874125    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-x5526_default(d96dade6-f09e-425f-aedf-f25721cfc0de)"
Jun 03 12:05:34 ip-172-31-26-136 kubelet[4410]: I0603 12:05:34.913989    4410 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-rrm6n_default(f8ea1357-f96d-405e-b2d2-3bdbf061913a)"
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.004875    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-rrm6n_default"
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.006673    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-ctxvm_default"
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.051671    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-dq6hc_default"
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.058343    4410 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-x5526_default"
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.435942    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.162] for pod "acmeair-flightservice-76d48bfb54-ctxvm_default(076e7a9d-8305-4c02-b2ea-bffc67a4603c)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.788360    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.120] for pod "acmeair-flightservice-76d48bfb54-x5526_default(d96dade6-f09e-425f-aedf-f25721cfc0de)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.788488    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.194] for pod "acmeair-flightservice-76d48bfb54-rrm6n_default(f8ea1357-f96d-405e-b2d2-3bdbf061913a)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.819438    4410 kuberuntime_manager.go:782] Determined the ip [100.96.3.225] for pod "acmeair-flightservice-76d48bfb54-dq6hc_default(783ccfaf-624e-4985-a445-0e1160a6fcd3)" after sandbox changed
Jun 03 12:05:36 ip-172-31-26-136 kubelet[4410]: I0603 12:05:36.857484    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-ctxvm" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:37 ip-172-31-26-136 kubelet[4410]: I0603 12:05:37.058005    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-x5526" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:37 ip-172-31-26-136 kubelet[4410]: I0603 12:05:37.079725    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-rrm6n" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:37 ip-172-31-26-136 kubelet[4410]: I0603 12:05:37.139649    4410 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-dq6hc" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:05:34 ip-172-31-31-229 kubelet[4418]: I0603 12:05:34.817432    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-kgbxx_default(fcd21d69-df96-4b32-8257-6e7afe9975c2)"
Jun 03 12:05:34 ip-172-31-31-229 kubelet[4418]: I0603 12:05:34.848911    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-kptqf_default(a8890bee-1bac-493f-af17-dbf075ddd7f7)"
Jun 03 12:05:34 ip-172-31-31-229 kubelet[4418]: I0603 12:05:34.920120    4418 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-bppb4_default(a02e9300-164d-4e8a-a070-65aa3043e489)"
Jun 03 12:05:35 ip-172-31-31-229 kubelet[4418]: I0603 12:05:35.725944    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-kptqf_default"
Jun 03 12:05:35 ip-172-31-31-229 kubelet[4418]: I0603 12:05:35.726564    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-bppb4_default"
Jun 03 12:05:35 ip-172-31-31-229 kubelet[4418]: I0603 12:05:35.788225    4418 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-kgbxx_default"
