Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.784977    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-899z9_default"
Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.887294    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7cm4g_default"
Jun 03 14:15:53 ip-172-31-25-1 kubelet[4618]: I0603 14:15:53.890039    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-vnnfp_default"
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.031819    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.136] for pod "acmeair-flightservice-76d48bfb54-899z9_default(b3f92206-a2b1-4036-a896-1d6d31fc487c)" after sandbox changed
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.150993    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.137] for pod "acmeair-flightservice-76d48bfb54-7cm4g_default(45ec3658-3ccd-499b-95c6-051fd8597e47)" after sandbox changed
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.218554    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.138] for pod "acmeair-flightservice-76d48bfb54-vnnfp_default(cea44592-9c71-4b91-9ddc-e88edf69b80e)" after sandbox changed
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.258629    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-899z9" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.430179    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7cm4g" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-25-1 kubelet[4618]: I0603 14:15:54.495933    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-vnnfp" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:53 ip-172-31-29-81 kubelet[4634]: I0603 14:15:53.073253    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-n4bqx_default(40fcd7c0-95a6-4bc0-88eb-9b9ae4bf84dd)"
